14/10/14 11:13 PM
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	
Total:            	     9006	  101204	                   522715	                          612638	
Pendientes:       	     4377	   43915	                   242607	                          279883	
Únicos:           	     5682	   72317	                   378311	                          442690	
Pendientes únicos:	     3084	   32391	                   183147	                          210440	


Estadísticas por archivo individual:

Nombre de archivo                                                                 	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
working-with-content/introduction/visual-design-of-plone.rst                      	             61	                   0	              45	                          0	              803	                  0	            765	                         0	                              4135	                                   0	                            3940	                                          0	                                     4823	                                          0	                                   4601	                                                 0	
working-with-content/introduction/your-dashboard.rst                              	             25	                   0	              17	                          0	              357	                  0	            336	                         0	                              1800	                                   0	                            1694	                                          0	                                     2109	                                          0	                                   1988	                                                 0	
working-with-content/logging-in.rst                                               	             20	                  12	              13	                         12	              211	                192	            194	                       192	                              1062	                                 956	                             981	                                        956	                                     1230	                                       1111	                                   1137	                                              1111	
working-with-content/managing-content/automatic-locking-and-unlocking.rst         	             15	                  13	              13	                         13	              272	                270	            270	                       270	                              1451	                                1436	                            1436	                                       1436	                                     1689	                                       1673	                                   1673	                                              1673	
working-with-content/managing-content/contentrules.rst                            	            153	                  75	             130	                         75	             1451	                556	           1429	                       556	                              7619	                                3415	                            7457	                                       3415	                                     9046	                                       4012	                                   8874	                                              4012	
working-with-content/managing-content/cutting-copying-and-pasting-items.rst       	             39	                  21	              24	                         21	              366	                319	            351	                       319	                              2078	                                1837	                            1978	                                       1837	                                     2375	                                       2100	                                   2270	                                              2100	
working-with-content/managing-content/deleting-items.rst                          	             11	                   7	               7	                          7	              134	                122	            122	                       122	                               691	                                 634	                             634	                                        634	                                      806	                                        740	                                    740	                                               740	
working-with-content/managing-content/editing-content.rst                         	             70	                  42	              42	                         42	              776	                720	            720	                       720	                              3965	                                3672	                            3672	                                       3672	                                     4625	                                       4296	                                   4296	                                              4296	
working-with-content/managing-content/folder-contents.rst                         	             43	                  31	              34	                         31	              571	                530	            552	                       530	                              3015	                                2778	                            2905	                                       2778	                                     3498	                                       3229	                                   3375	                                              3229	
working-with-content/managing-content/folder-view.rst                             	             48	                  29	              32	                         29	              552	                509	            523	                       509	                              2895	                                2664	                            2736	                                       2664	                                     3367	                                       3107	                                   3190	                                              3107	
working-with-content/managing-content/index.rst                                   	             18	                  15	              15	                         15	               36	                 33	             33	                        33	                               364	                                 342	                             342	                                        342	                                      381	                                        358	                                    358	                                               358	
working-with-content/managing-content/ploneformgen/captcha.rst                    	             31	                  17	              26	                         15	              207	                 67	            207	                        67	                              1377	                                 576	                            1365	                                        570	                                     1556	                                        632	                                   1544	                                               626	
working-with-content/managing-content/ploneformgen/creating_content.rst           	             74	                  69	              68	                         67	              744	                738	            739	                       735	                              3671	                                3637	                            3627	                                       3608	                                     4350	                                       4312	                                   4303	                                              4281	
working-with-content/managing-content/ploneformgen/custom_addons.rst              	             14	                  13	              12	                         12	              107	                107	            105	                       105	                               879	                                 877	                             854	                                        854	                                      972	                                        970	                                    946	                                               946	
working-with-content/managing-content/ploneformgen/custom_mailer.rst              	             47	                  45	              44	                         44	              203	                203	            201	                       201	                              1510	                                1506	                            1483	                                       1483	                                     1678	                                       1674	                                   1649	                                              1649	
working-with-content/managing-content/ploneformgen/custom_thanks.rst              	             22	                  20	              12	                         12	              181	                181	            172	                       172	                              1010	                                1006	                             965	                                        965	                                     1170	                                       1166	                                   1123	                                              1123	
working-with-content/managing-content/ploneformgen/custom_validators.rst          	             84	                  79	              76	                         76	              646	                646	            642	                       642	                              3332	                                3322	                            3287	                                       3287	                                     3898	                                       3888	                                   3851	                                              3851	
working-with-content/managing-content/ploneformgen/embedding.rst                  	             33	                  31	              28	                         28	              333	                333	            326	                       326	                              1937	                                1933	                            1856	                                       1856	                                     2204	                                       2200	                                   2119	                                              2119	
working-with-content/managing-content/ploneformgen/failsafe_email.rst             	             35	                  35	              31	                         31	              201	                201	            191	                       191	                              1218	                                1218	                            1118	                                       1118	                                     1388	                                       1388	                                   1282	                                              1282	
working-with-content/managing-content/ploneformgen/faq.rst                        	            133	                 130	             116	                        116	             1349	               1349	           1332	                      1332	                              7523	                                7517	                            7423	                                       7423	                                     8726	                                       8720	                                   8622	                                              8622	
working-with-content/managing-content/ploneformgen/getting_started.rst            	            284	                 264	             252	                        252	             3046	               3046	           3024	                      3024	                             15144	                               15106	                           14870	                                      14870	                                    17925	                                      17887	                                  17641	                                             17641	
working-with-content/managing-content/ploneformgen/gpg.rst                        	             30	                  27	              25	                         25	              301	                301	            298	                       298	                              1520	                                1514	                            1482	                                       1482	                                     1776	                                       1770	                                   1737	                                              1737	
working-with-content/managing-content/ploneformgen/index.rst                      	             45	                  35	              32	                         32	              208	                199	            195	                       195	                              1506	                                1438	                            1383	                                       1383	                                     1672	                                       1601	                                   1544	                                              1544	
working-with-content/managing-content/ploneformgen/installation.rst               	             17	                  15	               9	                          9	               93	                 93	             86	                        86	                               600	                                 596	                             524	                                        524	                                      680	                                        676	                                    601	                                               601	
working-with-content/managing-content/ploneformgen/javascript.rst                 	             47	                  44	              35	                         35	              293	                293	            285	                       285	                              1708	                                1702	                            1643	                                       1643	                                     1957	                                       1951	                                   1889	                                              1889	
working-with-content/managing-content/ploneformgen/multipage.rst                  	             22	                  19	              16	                         16	              320	                320	            316	                       316	                              1575	                                1569	                            1534	                                       1534	                                     1874	                                       1868	                                   1832	                                              1832	
working-with-content/managing-content/ploneformgen/override_defaults.rst          	             84	                  80	              42	                         42	              685	                685	            422	                       422	                              3573	                                3565	                            2195	                                       2195	                                     4167	                                       4159	                                   2572	                                              2572	
working-with-content/managing-content/ploneformgen/request.rst                    	             29	                  27	              25	                         25	              286	                286	            283	                       283	                              1512	                                1508	                            1479	                                       1479	                                     1766	                                       1762	                                   1732	                                              1732	
working-with-content/managing-content/ploneformgen/restyle.rst                    	            106	                  98	              84	                         84	              875	                875	            857	                       857	                              5679	                                5663	                            5528	                                       5528	                                     6319	                                       6303	                                   6162	                                              6162	
working-with-content/managing-content/ploneformgen/select_mail.rst                	             22	                  21	              20	                         20	              224	                224	            222	                       222	                              1220	                                1218	                            1195	                                       1195	                                     1420	                                       1418	                                   1393	                                              1393	
working-with-content/managing-content/ploneformgen/sql_crud.rst                   	            199	                 185	             160	                        160	             1764	               1762	           1719	                      1719	                              8762	                                8727	                            8348	                                       8348	                                    10337	                                      10301	                                   9900	                                              9900	
working-with-content/managing-content/presentation-mode.rst                       	             18	                  14	              14	                         14	              232	                191	            191	                       191	                              1185	                                 985	                             985	                                        985	                                     1397	                                       1160	                                   1160	                                              1160	
working-with-content/managing-content/previous-next-links.rst                     	             18	                   9	              11	                          9	              125	                100	            119	                       100	                               737	                                 608	                             695	                                        608	                                      838	                                        690	                                    794	                                               690	
working-with-content/managing-content/reordering-items.rst                        	             25	                  12	              12	                         12	              183	                156	            156	                       156	                              1065	                                 912	                             912	                                        912	                                     1212	                                       1041	                                   1041	                                              1041	
